web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1579704372-434","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","The Strongest - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/the-strongest-always-ready-nyXbERyn/","Bethard","1.06","10.50","15.50","90.6%","Final result 3:2 (2:2, 1:0)","25 Dec  2019","20:00"
"1579704260-193","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Real Potosi - San Jose","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/real-potosi-san-jose-f5EOousD/","1xBet","3.00","3.86","2.16","94.8%","Final result 1:4 (0:1, 1:3)","15 Dec  2019","19:00"
"1579704185-13","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Sport Boys - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/sport-boys-nacional-potosi-KS1nnlyd/","1xBet","2.37","3.70","2.74","94.6%","Final result 0:0 (0:0, 0:0)","07 Dec  2019","19:00"
"1579704223-129","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","San Jose - Bolivar","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/san-jose-bolivar-pE5Aj3Ss/","Pinnacle","2.19","3.56","3.12","94.5%","Final result 2:2 (1:1, 1:1)","12 Dec  2019","00:30"
"1579704405-501","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Guabira - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/guabira-oriente-petrolero-2DbtdpMH/","null","null","null","null","null","Final result 1:3 (1:1, 0:2)","25 Dec  2019","20:00"
"1579704353-399","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Bolivar - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/bolivar-nacional-potosi-GddUbnxa/","bwin","1.22","6.00","8.00","90.0%","Final result 2:1 (1:0, 1:1)","22 Dec  2019","20:00"
"1579704423-515","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Wilstermann - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/wilstermann-oriente-petrolero-fHOURp6o/","bet-at-home","1.17","6.01","9.44","88.7%","Final result 3:1 (1:0, 2:1)","28 Dec  2019","20:00"
"1579704180-2","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-wilstermann-C2x9YU6d/","Asianodds","2.49","3.63","2.68","95.2%","Final result 0:3 (0:2, 0:1)","06 Dec  2019","00:30"
"1579704304-312","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Destroyers","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-destroyers-tzd9cxtP/","null","null","null","null","null","Final result 1:0 (1:0, 0:0)","19 Dec  2019","00:30"
"1579704273-233","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Wilstermann - The Strongest","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/wilstermann-the-strongest-MB6A9rZJ/","Bethard","2.60","3.40","2.35","90.6%","Final result 1:1 (1:1, 0:0)","15 Dec  2019","21:15"
