web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1574836405-23582","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/","Blooming - Petrolero de Yacuiba","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/blooming-petrolero-de-yacuiba-Qgt5eAIN/","Marathonbet","1.40","4.60","9.10","96.0%","Final result 3:0 (1:0, 2:0)","18 Apr  2015","00:30"
"1574830315-16718","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011/results/","The Strongest - La Paz","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011/the-strongest-la-paz-tOUmk80N/","bet365","1.45","3.60","7.00","90.1%","Final result 3:1 (1:0, 2:1)","01 May  2011","19:30"
"1574837847-24432","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/5/","Real Potosi - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/real-potosi-nacional-potosi-WUiKbTae/","bwin","2.15","3.20","3.00","90.0%","Final result 1:2 (0:1, 1:1)","13 Sep  2015","21:15"
"1574835714-22397","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/4/","San Jose - U. Pando","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/san-jose-universitario-de-pando-GxQOVHIp/","bet365","1.17","7.00","15.00","94.0%","Final result 2:1 (2:0, 0:1)","14 Nov  2014","00:00"
"1574833472-17467","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/#/page/2/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/oriente-petrolero-nacional-potosi-MP815utB/","bet365","1.57","3.80","6.00","93.7%","Final result 2:0 (0:0, 2:0)","25 Mar  2012","22:30"
"1574834689-19713","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/5/","Nacional Potosi - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/nacional-potosi-blooming-4MKjvk0q/","Marathonbet","1.40","4.50","8.20","94.5%","Final result 2:0 (1:0, 1:0)","19 Sep  2013","00:00"
"1574834439-19163","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/results/","Nacional Potosi - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2012-2013/nacional-potosi-san-jose-ClNQNDf5/","Pinnacle","2.52","3.40","2.85","96.0%","Final result 1:4 (1:2, 0:2)","28 Apr  2013","19:30"
"1574835202-20971","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/2/","Nacional Potosi - Bolivar","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/nacional-potosi-bolivar-WUcLyMpo/","bet-at-home","2.10","3.15","3.00","88.7%","Final result 1:1 (0:1, 1:0)","30 Mar  2014","20:00"
"1574835075-20679","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/3/","Sport Boys - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/sport-boys-guabira-IaysRpkG/","bet-at-home","2.00","3.35","3.00","88.4%","Final result 2:0 (1:0, 1:0)","19 Feb  2014","20:00"
"1574838938-26048","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/2/","Petrolero de Yacuiba - Ciclon","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/petrolero-de-yacuiba-ciclon-6N64II19/","Marathonbet","2.34","3.45","2.88","93.9%","Final result 4:1 (2:1, 2:0)","20 Apr  2016","19:00"
"1574835228-21035","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/2/","Oriente Petrolero - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/oriente-petrolero-nacional-potosi-h2c4yDj2/","bet-at-home","1.35","4.00","7.00","88.2%","Final result 1:0 (0:0, 1:0)","06 Apr  2014","22:00"
